	plot_ID	elevation_zone	lat	lon	elevation	aspect	slope	plot_size	rock_soil	cover_rock	soildpt_median	soildpt_mean	folded_aspect_NE	heatload	pH_H2O	Ca	Cu	Fe	K	Mg	Mn	P	Zn	total_N	total_C	CN_ratio	fog_freq
35	L46	1350	24.74883	121.46633	1375	174	27	100	3	4	3	12	129	1.094563639	4.02	145.5482567	1.280220424	83.25015167	123.9031714	46.41898774	171.8040789	25.15503143	2.824143885	1.256690975	16.35394602	13.01349842	0.31853
36	L47	1350	24.74957	121.46449	1380	160	32	100	15	10	3	15.75	115	1.04017101	4.179	1129.264155	1.445685116	323.5406793	337.7256946	182.027549	60.33581711	23.82662089	6.826756038	1.626479634	25.43471515	15.63789341	0.31853
37	L4L	1350	24.74851	121.46725	1350	192	24	100	5	2	3.5	16.75	147	1.113183165	3.394	171.106254	0.610691063	386.2999018	165.7073351	82.60210831	23.65206563	14.37019101	3.082856193	1.170247186	17.13240556	14.63998867	0.31843
38	L4R	1350	24.75242	121.46869	1417	60	20	100	0	0	5	29.25	15	0.749384039	3.229	225.6183879	0.203196216	423.1949182	78.97403557	92.72748667	9.756987675	13.23763074	6.821467982	0.442096589	9.194318065	20.79707985	0.31096
39	L4W	1350	24.75245	121.4692	1345	46	45	100	5	3	3	18.25	1	0.41903477	3.689	69.85560135	0.834161123	241.8642982	97.60563114	41.8963759	20.78491698	7.79244153	2.425024459	0.772177339	10.85466403	14.05721649	0.30661
40	L51	1100	24.81857	121.46839	1148	248	27	100	1	1	3.5	22.75	157	1.105808385	3.843	112.1361229	0.871973465	426.1913418	157.5050056	43.60790635	15.15962311	8.463109087	2.754629114	0.821714463	12.06585707	14.68375892	0.1681
41	L52	1100	24.82008	121.46818	1132	302	17	100	0	20	4	26.25	103	1.040764889	3.402	112.1046414	0.463731309	476.5694408	128.0203862	60.16504501	5.713674084	12.76566511	4.453875978	1.13271777	19.58420144	17.28956847	0.15882
42	L53	1100	24.82057	121.4692	1135	50	39	100	0	3	4.5	30.25	5	0.490288715	3.899	69.05056793	0.393659889	375.4399065	90.31105521	30.7293912	2.736889189	3.771647161	2.130628805	0.564114984	9.506748481	16.85250126	0.15882
43	L54	1100	24.81991	121.46925	1150	236	41	100	0	4.25	3.5	24	169	1.016650788	3.612	161.4844501	0.548737735	454.2233737	169.552497	67.22770072	11.8363245	13.10329547	4.387181677	1.263453078	20.82805525	16.48502474	0.15882
44	L55	1100	24.82227	121.46824	1090	298	14	100	0.1	0.1	3	19.5	107	1.047997917	3.881	46.92472972	0.445999808	340.900432	85.76387634	31.58371357	10.20367374	5.495998147	2.31179804	0.591143185	9.067496727	15.3389178	0.14773
45	L56	1100	24.82222	121.46898	1080	53	20	100	1	2.25	3.5	22.75	8	0.733495111	3.616	151.5126659	0.547804109	444.3454214	135.0875574	59.97083719	5.600656065	14.99871695	4.105102499	0.929484228	14.13497645	15.2073333	0.14773
46	L57	1100	24.82144	121.46839	1139	336	17	100	0	10	3.5	25	69	0.938903764	3.708	46.87267308	0.484550898	393.8152586	101.1321144	37.91530406	10.99402285	6.636038454	2.833590922	0.787258487	12.2298162	15.53468956	0.14773
47	L5L	1100	24.81925	121.46816	1140	334	13	100	0	0.2	4.5	29.5	71	0.964746664	3.633	135.3482838	0.704898008	430.2442026	172.0585958	66.25721272	14.05808521	9.630034924	3.572223956	1.014905047	15.90168469	15.66815017	0.15882
48	L5R	1100	24.82151	121.46884	1120	294	25	100	0	0.02	4	27.25	111	1.052537246	3.709	81.67417678	0.674207176	372.8623648	136.7776877	51.6678066	6.408675498	5.876934964	2.66664427	0.841298723	12.36931981	14.70264898	0.14773
49	L5W	1100	24.81	121.46963	1120	61	26	100	0	0.5	4.5	26.5	16	0.674694915	3.487	160.7475818	0.478175059	501.5387128	174.8303681	75.28218579	8.082705048	11.4301917	4.531929116	1.155718256	18.29727378	15.83195012	0.15882
